               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.021254,           0.0086417,             0.00182,             0.96657,             0.93821,             0.96713,             0.73641,            0.019421,           0.0086067,           0.0013979,            0.006535,            0.006535,            0.006535
                  37,            0.020855,           0.0086569,           0.0017544,             0.96088,             0.94511,             0.96925,             0.74312,            0.019453,           0.0086489,           0.0013946,            0.006436,            0.006436,            0.006436
                  38,            0.020805,           0.0085603,           0.0019072,             0.95975,             0.94404,             0.96977,             0.74363,            0.019211,            0.008574,           0.0013779,            0.006337,            0.006337,            0.006337
                  39,            0.020866,           0.0085537,           0.0019349,              0.9644,             0.94302,             0.96932,             0.74049,            0.019388,           0.0085883,           0.0015623,            0.006238,            0.006238,            0.006238
                  40,            0.020634,           0.0086983,           0.0019754,              0.9673,             0.93397,             0.97016,             0.74178,            0.019362,           0.0085688,           0.0013128,            0.006139,            0.006139,            0.006139
                  41,            0.020493,           0.0084865,           0.0018683,             0.96357,             0.93939,             0.97138,             0.74672,             0.01903,           0.0085294,           0.0012578,             0.00604,             0.00604,             0.00604
                  42,            0.020337,           0.0084686,           0.0019016,             0.96522,             0.94117,             0.97047,             0.74269,            0.019249,           0.0086371,           0.0013574,            0.005941,            0.005941,            0.005941
                  43,             0.02016,            0.008554,           0.0019159,             0.96348,             0.94271,             0.97114,             0.74714,            0.018983,           0.0085291,           0.0012286,            0.005842,            0.005842,            0.005842
                  44,            0.020348,           0.0084084,           0.0017945,             0.96458,             0.94218,             0.97283,             0.75055,            0.019108,           0.0085114,           0.0012506,            0.005743,            0.005743,            0.005743
                  45,            0.020031,           0.0083743,           0.0017185,             0.96616,             0.94094,             0.97213,             0.74969,            0.018844,           0.0084785,           0.0012604,            0.005644,            0.005644,            0.005644
                  46,            0.020038,           0.0082226,           0.0017274,             0.95867,             0.94837,             0.97106,             0.75154,            0.018996,             0.00851,           0.0012555,            0.005545,            0.005545,            0.005545
                  47,            0.020057,           0.0083858,           0.0020321,              0.9558,             0.95018,             0.97247,             0.74859,            0.018965,           0.0084816,           0.0012504,            0.005446,            0.005446,            0.005446
                  48,            0.019804,           0.0083104,           0.0016926,             0.96058,             0.94413,             0.97081,             0.74662,            0.019022,           0.0084522,           0.0013044,            0.005347,            0.005347,            0.005347
                  49,            0.019803,           0.0083328,            0.001785,             0.96367,              0.9412,             0.97218,             0.75041,            0.018998,           0.0084887,           0.0012998,            0.005248,            0.005248,            0.005248
                  50,             0.01976,           0.0083536,           0.0017532,              0.9645,             0.94269,             0.97133,             0.75165,            0.018662,           0.0083996,           0.0012125,            0.005149,            0.005149,            0.005149
                  51,            0.019879,           0.0084769,           0.0018285,             0.95715,             0.95166,             0.97428,             0.75161,            0.018783,           0.0084652,           0.0012522,             0.00505,             0.00505,             0.00505
                  52,            0.019894,           0.0082589,           0.0016431,             0.96701,             0.94674,             0.97375,              0.7487,            0.018945,           0.0084324,           0.0011765,            0.004951,            0.004951,            0.004951
                  53,            0.019553,           0.0083187,           0.0017397,             0.96124,             0.95003,             0.97312,             0.75068,            0.018748,           0.0083751,           0.0011802,            0.004852,            0.004852,            0.004852
                  54,             0.01951,           0.0082194,           0.0016573,             0.96109,             0.94959,             0.97295,             0.74946,            0.018606,           0.0083716,            0.001246,            0.004753,            0.004753,            0.004753
                  55,            0.019649,           0.0081849,           0.0015923,             0.96428,             0.94799,             0.97388,             0.75281,            0.018571,           0.0083604,           0.0011905,            0.004654,            0.004654,            0.004654
                  56,            0.019235,           0.0080702,           0.0016679,             0.96581,             0.94756,             0.97254,             0.75239,            0.018759,           0.0084101,           0.0011962,            0.004555,            0.004555,            0.004555
                  57,            0.019367,           0.0081204,           0.0017174,             0.96503,             0.94861,              0.9739,             0.75447,            0.018625,            0.008366,           0.0011931,            0.004456,            0.004456,            0.004456
                  58,            0.019267,           0.0080582,           0.0016781,             0.96292,             0.94804,             0.97391,             0.75304,            0.018671,           0.0083386,           0.0012006,            0.004357,            0.004357,            0.004357
                  59,            0.019193,           0.0081865,           0.0016944,             0.96179,             0.94668,             0.97275,             0.75274,            0.018669,           0.0083581,           0.0012418,            0.004258,            0.004258,            0.004258
                  60,            0.019205,           0.0080761,           0.0014848,             0.96225,             0.94599,             0.97339,             0.75455,            0.018567,           0.0083773,           0.0012482,            0.004159,            0.004159,            0.004159
                  61,            0.019005,           0.0079903,           0.0017023,             0.96577,             0.94805,             0.97333,             0.75693,            0.018507,           0.0083226,           0.0012496,             0.00406,             0.00406,             0.00406
                  62,            0.018956,           0.0081949,           0.0014688,             0.96316,             0.94737,             0.97362,               0.755,            0.018525,           0.0083206,           0.0012354,            0.003961,            0.003961,            0.003961
                  63,             0.01909,           0.0080102,           0.0016072,              0.9593,             0.95321,             0.97466,              0.7539,            0.018575,           0.0083327,           0.0012098,            0.003862,            0.003862,            0.003862
                  64,            0.018938,           0.0078806,           0.0016875,             0.96598,             0.94951,             0.97585,              0.7532,            0.018562,           0.0083129,            0.001322,            0.003763,            0.003763,            0.003763
