               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.067068,            0.040714,            0.039915,             0.51544,             0.47988,             0.45569,             0.25203,            0.046119,            0.022644,            0.020459,            0.070007,           0.0033325,           0.0033325
                   1,            0.055753,            0.037389,            0.018293,             0.62123,             0.53835,              0.5574,             0.31718,            0.043485,            0.022277,            0.013463,            0.039941,           0.0065999,           0.0065999
                   2,            0.055534,            0.038267,            0.017549,             0.61421,             0.54808,             0.55857,             0.32302,            0.043247,             0.02226,            0.012743,           0.0098093,           0.0098012,           0.0098012
                   3,              0.0545,             0.03842,             0.01695,             0.65945,             0.57579,             0.59963,             0.35858,            0.041303,            0.021498,            0.010319,            0.009703,            0.009703,            0.009703
                   4,            0.052275,            0.037207,            0.014869,             0.67549,             0.60634,             0.63106,             0.38453,            0.039977,            0.021005,           0.0093851,            0.009703,            0.009703,            0.009703
                   5,            0.051142,            0.036729,            0.013836,             0.69159,             0.61765,             0.64854,             0.40335,             0.03906,            0.020638,           0.0084322,            0.009604,            0.009604,            0.009604
                   6,            0.050422,            0.036269,            0.013273,              0.7063,             0.63264,             0.66475,             0.42005,            0.038197,            0.020347,           0.0079978,            0.009505,            0.009505,            0.009505
                   7,            0.049904,            0.036144,            0.012829,             0.70964,             0.64265,             0.67195,             0.42993,            0.037751,            0.020146,           0.0075564,            0.009406,            0.009406,            0.009406
                   8,            0.049344,            0.035948,            0.012442,             0.71205,             0.65062,             0.67984,             0.43573,            0.037431,            0.020003,           0.0073742,            0.009307,            0.009307,            0.009307
                   9,            0.049012,            0.035777,            0.012208,              0.7222,             0.64986,             0.68537,             0.44281,            0.037192,            0.019994,           0.0072026,            0.009208,            0.009208,            0.009208
                  10,            0.048717,            0.035339,            0.012183,             0.72748,             0.65436,             0.68976,             0.44745,            0.036885,            0.019878,            0.007053,            0.009109,            0.009109,            0.009109
                  11,            0.048651,            0.035585,            0.011887,             0.73391,             0.65368,             0.69333,             0.45131,            0.036716,            0.019818,           0.0069501,             0.00901,             0.00901,             0.00901
                  12,            0.048481,            0.035085,            0.011849,             0.73217,             0.65615,             0.69453,              0.4534,            0.036604,             0.01977,           0.0068573,            0.008911,            0.008911,            0.008911
                  13,            0.048137,            0.035124,            0.011625,              0.7366,             0.65559,             0.69698,             0.45619,             0.03649,             0.01971,           0.0068046,            0.008812,            0.008812,            0.008812
                  14,            0.047989,            0.034934,            0.011588,             0.73389,             0.65854,             0.69858,             0.45844,             0.03637,            0.019681,           0.0067623,            0.008713,            0.008713,            0.008713
                  15,            0.047961,            0.035091,            0.011316,             0.73338,             0.66095,             0.69994,             0.45984,            0.036293,            0.019657,           0.0067068,            0.008614,            0.008614,            0.008614
                  16,            0.047697,            0.034831,            0.011319,             0.73661,             0.66105,             0.70109,             0.46101,             0.03622,            0.019627,           0.0066635,            0.008515,            0.008515,            0.008515
                  17,            0.047675,            0.035159,            0.011153,             0.73371,             0.66423,              0.7023,             0.46214,            0.036153,            0.019597,           0.0066081,            0.008416,            0.008416,            0.008416
                  18,            0.047472,            0.034657,            0.011049,             0.73503,             0.66421,              0.7032,             0.46345,            0.036079,            0.019568,            0.006562,            0.008317,            0.008317,            0.008317
                  19,            0.047393,            0.034683,            0.010977,             0.73738,             0.66572,              0.7047,             0.46462,            0.036018,            0.019539,            0.006519,            0.008218,            0.008218,            0.008218
                  20,            0.047245,            0.034457,            0.010968,             0.73692,             0.66701,             0.70575,             0.46529,            0.035963,            0.019512,           0.0064805,            0.008119,            0.008119,            0.008119
                  21,            0.047259,            0.034674,             0.01083,             0.73547,             0.66947,             0.70711,             0.46666,            0.035913,            0.019483,           0.0064367,             0.00802,             0.00802,             0.00802
                  22,            0.047062,            0.034584,            0.010745,             0.73668,             0.67036,             0.70809,             0.46799,            0.035853,            0.019452,           0.0063875,            0.007921,            0.007921,            0.007921
                  23,            0.047025,            0.034573,            0.010671,             0.73856,              0.6701,             0.70927,             0.46909,            0.035794,            0.019425,           0.0063395,            0.007822,            0.007822,            0.007822
                  24,            0.046781,            0.034418,            0.010516,             0.74058,             0.66998,             0.70999,             0.47018,            0.035738,            0.019396,           0.0063015,            0.007723,            0.007723,            0.007723
                  25,            0.046868,            0.034578,            0.010503,             0.73806,             0.67148,             0.71054,             0.47123,            0.035691,            0.019368,           0.0062678,            0.007624,            0.007624,            0.007624
                  26,            0.046705,            0.034135,            0.010592,             0.74144,             0.67055,             0.71172,             0.47222,            0.035644,            0.019336,           0.0062407,            0.007525,            0.007525,            0.007525
                  27,            0.046749,            0.034307,            0.010497,             0.74309,               0.671,             0.71285,             0.47338,            0.035602,            0.019307,           0.0062077,            0.007426,            0.007426,            0.007426
                  28,            0.046576,            0.034103,            0.010315,             0.74471,             0.67069,             0.71367,             0.47463,             0.03556,            0.019279,           0.0061766,            0.007327,            0.007327,            0.007327
                  29,            0.046431,            0.034205,            0.010248,             0.74494,             0.67105,             0.71538,             0.47593,            0.035508,            0.019247,           0.0061512,            0.007228,            0.007228,            0.007228
                  30,            0.046392,            0.034211,            0.010333,              0.7453,             0.67132,             0.71615,             0.47692,             0.03546,             0.01922,           0.0061146,            0.007129,            0.007129,            0.007129
                  31,            0.046263,            0.033994,            0.010104,             0.74726,              0.6711,             0.71686,             0.47781,            0.035409,            0.019187,           0.0060887,             0.00703,             0.00703,             0.00703
                  32,            0.046329,            0.034102,            0.010183,              0.7474,             0.67275,             0.71776,             0.47888,            0.035359,            0.019155,           0.0060589,            0.006931,            0.006931,            0.006931
                  33,            0.046104,             0.03384,            0.010134,              0.7483,             0.67343,             0.71864,             0.47997,            0.035312,            0.019128,            0.006028,            0.006832,            0.006832,            0.006832
                  34,            0.046122,            0.034027,           0.0099712,             0.74782,             0.67511,             0.71957,             0.48074,             0.03527,              0.0191,           0.0060018,            0.006733,            0.006733,            0.006733
                  35,            0.045889,            0.033941,            0.010029,             0.75029,             0.67479,             0.72052,             0.48204,            0.035223,            0.019074,           0.0059676,            0.006634,            0.006634,            0.006634
                  36,            0.045782,            0.033802,           0.0099419,             0.75042,             0.67535,             0.72116,             0.48309,            0.035184,            0.019049,           0.0059294,            0.006535,            0.006535,            0.006535
                  37,            0.045849,            0.033706,           0.0099311,             0.74958,             0.67652,             0.72198,             0.48413,            0.035138,            0.019025,           0.0059031,            0.006436,            0.006436,            0.006436
                  38,            0.045706,            0.033568,           0.0099382,             0.74961,             0.67667,             0.72271,             0.48521,            0.035101,            0.019001,           0.0058788,            0.006337,            0.006337,            0.006337
                  39,            0.045765,            0.033856,             0.00974,             0.74838,             0.67897,             0.72388,             0.48609,            0.035064,            0.018978,           0.0058474,            0.006238,            0.006238,            0.006238
                  40,            0.045665,            0.033863,           0.0097161,             0.74873,             0.68032,             0.72467,             0.48702,            0.035022,            0.018958,           0.0058197,            0.006139,            0.006139,            0.006139
                  41,             0.04555,            0.033637,           0.0097903,             0.74797,             0.68199,             0.72563,             0.48817,            0.034977,            0.018939,           0.0057861,             0.00604,             0.00604,             0.00604
                  42,            0.045453,            0.033599,           0.0096429,             0.74825,             0.68179,             0.72623,             0.48911,            0.034935,            0.018917,           0.0057579,            0.005941,            0.005941,            0.005941
                  43,            0.045453,            0.033545,           0.0095438,             0.74722,             0.68409,              0.7269,             0.49012,            0.034888,            0.018895,           0.0057169,            0.005842,            0.005842,            0.005842
                  44,            0.045225,            0.033345,           0.0095859,             0.75085,             0.68321,             0.72762,               0.491,             0.03485,            0.018869,           0.0056899,            0.005743,            0.005743,            0.005743
                  45,            0.045169,            0.033118,           0.0095709,             0.75145,             0.68355,             0.72828,             0.49193,            0.034816,             0.01885,           0.0056668,            0.005644,            0.005644,            0.005644
                  46,             0.04515,            0.033468,           0.0094378,             0.75141,             0.68348,             0.72904,             0.49262,            0.034783,            0.018834,           0.0056401,            0.005545,            0.005545,            0.005545
                  47,            0.045029,            0.033261,           0.0093658,             0.75274,             0.68374,             0.72992,             0.49346,            0.034749,            0.018817,           0.0056189,            0.005446,            0.005446,            0.005446
                  48,            0.045009,            0.033231,           0.0093528,             0.75042,             0.68562,             0.73073,             0.49412,            0.034725,            0.018798,           0.0055955,            0.005347,            0.005347,            0.005347
                  49,            0.045053,            0.033254,           0.0093201,             0.75227,             0.68465,             0.73135,             0.49494,            0.034694,            0.018779,           0.0055744,            0.005248,            0.005248,            0.005248
                  50,            0.044842,            0.033199,           0.0093447,              0.7547,             0.68434,             0.73218,             0.49588,            0.034653,            0.018763,           0.0055509,            0.005149,            0.005149,            0.005149
                  51,            0.044756,            0.033119,           0.0093281,             0.75306,              0.6854,             0.73322,             0.49649,            0.034608,            0.018745,           0.0055266,             0.00505,             0.00505,             0.00505
                  52,            0.044558,            0.033101,           0.0090611,             0.75398,             0.68643,             0.73408,             0.49783,             0.03456,            0.018727,           0.0055014,            0.004951,            0.004951,            0.004951
                  53,            0.044535,            0.033012,           0.0090452,              0.7524,             0.68941,             0.73518,             0.49852,            0.034519,            0.018705,            0.005471,            0.004852,            0.004852,            0.004852
                  54,            0.044521,            0.033088,           0.0089738,             0.75345,             0.68877,             0.73635,             0.49917,            0.034488,            0.018688,           0.0054452,            0.004753,            0.004753,            0.004753
                  55,            0.044506,            0.032955,            0.008941,             0.75389,                0.69,             0.73729,             0.50025,            0.034452,             0.01867,           0.0054232,            0.004654,            0.004654,            0.004654
                  56,            0.044274,            0.033029,           0.0088187,             0.75414,             0.69174,             0.73832,             0.50125,            0.034417,            0.018656,           0.0053976,            0.004555,            0.004555,            0.004555
                  57,            0.044171,            0.032816,           0.0088331,             0.75584,             0.69145,             0.73869,               0.502,            0.034379,            0.018637,           0.0053745,            0.004456,            0.004456,            0.004456
                  58,            0.044239,            0.032711,           0.0088575,             0.75505,             0.69392,             0.73956,             0.50293,            0.034341,            0.018619,           0.0053486,            0.004357,            0.004357,            0.004357
                  59,            0.044265,             0.03273,           0.0087319,              0.7545,             0.69592,             0.74025,             0.50357,             0.03431,            0.018599,           0.0053262,            0.004258,            0.004258,            0.004258
                  60,             0.04386,            0.032636,           0.0086601,             0.75483,             0.69707,             0.74095,             0.50421,            0.034279,            0.018581,           0.0052988,            0.004159,            0.004159,            0.004159
                  61,            0.043944,            0.032681,           0.0086517,             0.75555,             0.69782,             0.74157,             0.50502,            0.034245,            0.018566,           0.0052732,             0.00406,             0.00406,             0.00406
                  62,             0.04391,            0.032645,           0.0085371,             0.75521,              0.6993,             0.74265,              0.5061,            0.034208,            0.018551,           0.0052523,            0.003961,            0.003961,            0.003961
                  63,            0.043545,             0.03245,           0.0084488,              0.7563,             0.69972,             0.74303,             0.50675,            0.034177,            0.018531,           0.0052285,            0.003862,            0.003862,            0.003862
                  64,            0.043763,            0.032466,           0.0084068,             0.75872,             0.69928,             0.74369,             0.50757,            0.034137,            0.018511,           0.0052026,            0.003763,            0.003763,            0.003763
                  65,            0.043481,            0.032406,           0.0084014,             0.75871,                 0.7,             0.74449,             0.50854,            0.034095,            0.018493,           0.0051874,            0.003664,            0.003664,            0.003664
                  66,            0.043513,            0.032602,           0.0083966,             0.75824,             0.70039,             0.74552,             0.50941,            0.034064,            0.018478,           0.0051721,            0.003565,            0.003565,            0.003565
